example_id                                                    | status | run_time        |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:5:1:3] | passed | 0.00698 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:5:1:4] | passed | 0.01482 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:5:2:1] | passed | 0.00902 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:5:2:2] | passed | 0.00619 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:5:2:3] | passed | 0.00575 seconds |
./spec/requests/api/v1/catalog/bead_finishes_spec.rb[1:5:3:1] | passed | 0.02308 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:1:1:1]    | passed | 0.00417 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:1:1:2]    | passed | 0.00685 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:1:1:3]    | passed | 0.00393 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:1:2:1]    | passed | 0.01435 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:1:2:2]    | passed | 0.01898 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:1:2:3]    | passed | 0.02272 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:1:2:4]    | passed | 0.02264 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:1:3:1]    | passed | 0.01455 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:1:3:2]    | passed | 0.02543 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:2:1:1]    | passed | 0.01217 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:2:1:2]    | passed | 0.02021 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:2:1:3]    | passed | 0.00965 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:2:1:4]    | passed | 0.01217 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:2:1:5]    | passed | 0.01802 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:2:2:1]    | passed | 0.00387 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:2:2:2]    | passed | 0.00389 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:2:2:3]    | passed | 0.00358 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:3:1:1]    | passed | 0.00974 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:3:1:2]    | passed | 0.01175 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:3:1:3]    | passed | 0.01972 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:3:1:4]    | passed | 0.01803 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:3:1:5]    | passed | 0.01156 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:3:1:6]    | passed | 0.01058 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:3:1:7]    | passed | 0.01205 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:3:2:1]    | passed | 0.01098 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:3:2:2]    | passed | 0.00966 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:3:2:3]    | passed | 0.00916 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:3:2:4]    | passed | 0.01982 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:4:1:1]    | passed | 0.02 seconds    |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:4:1:2]    | passed | 0.02636 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:4:1:3]    | passed | 0.02338 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:4:1:4]    | passed | 0.01657 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:4:1:5]    | passed | 0.01831 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:4:2:1]    | passed | 0.01427 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:4:2:2]    | passed | 0.01351 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:4:2:3]    | passed | 0.02083 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:4:2:4]    | passed | 0.01293 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:4:3:1]    | passed | 0.01208 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:4:3:2]    | passed | 0.02307 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:4:3:3]    | passed | 0.0107 seconds  |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:5:1:1]    | passed | 0.01044 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:5:1:2]    | passed | 0.01054 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:5:1:3]    | passed | 0.01522 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:5:1:4]    | passed | 0.01584 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:5:2:1]    | passed | 0.00592 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:5:2:2]    | passed | 0.00717 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:5:2:3]    | passed | 0.00668 seconds |
./spec/requests/api/v1/catalog/bead_sizes_spec.rb[1:5:3:1]    | passed | 0.0235 seconds  |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:1:1:1]    | passed | 0.00476 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:1:1:2]    | passed | 0.00589 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:1:1:3]    | passed | 0.00545 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:1:2:1]    | passed | 0.02271 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:1:2:2]    | passed | 0.03932 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:1:2:3]    | passed | 0.01564 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:1:2:4]    | passed | 0.01576 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:1:3:1]    | passed | 0.02398 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:2:1:1]    | passed | 0.13608 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:2:1:2]    | passed | 0.0185 seconds  |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:2:1:3]    | passed | 0.04085 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:2:1:4]    | passed | 0.01646 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:2:1:5]    | passed | 0.01562 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:2:2:1]    | passed | 0.00753 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:2:2:2]    | passed | 0.00544 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:2:2:3]    | passed | 0.007 seconds   |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:3:1:1]    | passed | 0.01266 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:3:1:2]    | passed | 0.00977 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:3:1:3]    | passed | 0.01186 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:3:1:4]    | passed | 0.20019 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:3:1:5]    | passed | 0.00753 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:3:1:6]    | passed | 0.00893 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:3:2:1]    | passed | 0.00804 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:3:2:2]    | passed | 0.06552 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:3:2:3]    | passed | 0.12909 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:3:2:4]    | passed | 0.60303 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:4:1:1]    | passed | 0.02509 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:4:1:2]    | passed | 0.02965 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:4:1:3]    | passed | 0.01983 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:4:1:4]    | passed | 0.01738 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:4:1:5]    | passed | 0.03689 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:4:2:1]    | passed | 0.01175 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:4:2:2]    | passed | 0.01998 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:4:2:3]    | passed | 0.01502 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:4:2:4]    | passed | 0.02224 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:4:3:1]    | passed | 0.01181 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:4:3:2]    | passed | 0.01447 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:4:3:3]    | passed | 0.0142 seconds  |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:5:1:1]    | passed | 0.02085 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:5:1:2]    | passed | 0.0194 seconds  |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:5:1:3]    | passed | 0.01275 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:5:1:4]    | passed | 0.01346 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:5:2:1]    | passed | 0.00537 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:5:2:2]    | passed | 0.00542 seconds |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:5:2:3]    | passed | 0.0055 seconds  |
./spec/requests/api/v1/catalog/bead_types_spec.rb[1:5:3:1]    | passed | 0.03072 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:1:1:1]         | passed | 0.00769 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:1:1:2]         | passed | 0.00621 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:1:1:3]         | passed | 0.00815 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:1:2:1]         | passed | 0.0607 seconds  |
./spec/requests/api/v1/catalog/beads_spec.rb[1:1:2:2]         | passed | 0.11459 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:1:2:3]         | passed | 0.15281 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:1:2:4]         | passed | 0.10116 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:1:3:1]         | passed | 0.07613 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:1:3:2]         | passed | 0.02922 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:1:3:3]         | passed | 0.05918 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:1:3:4]         | passed | 0.04888 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:1:3:5]         | passed | 0.03135 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:1:3:6]         | passed | 0.05398 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:2:1:1]         | passed | 0.03969 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:2:1:2]         | passed | 0.0337 seconds  |
./spec/requests/api/v1/catalog/beads_spec.rb[1:2:1:3]         | passed | 0.19741 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:2:1:4]         | passed | 0.03588 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:2:1:5]         | passed | 0.09447 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:2:1:6]         | passed | 0.04908 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:2:1:7]         | passed | 0.12097 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:2:2:1]         | passed | 0.00702 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:2:2:2]         | passed | 0.00506 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:2:2:3]         | passed | 0.00493 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:3:1:1]         | passed | 0.051 seconds   |
./spec/requests/api/v1/catalog/beads_spec.rb[1:3:1:2]         | passed | 0.0562 seconds  |
./spec/requests/api/v1/catalog/beads_spec.rb[1:3:1:3]         | passed | 0.04073 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:3:1:4]         | passed | 0.03436 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:3:1:5]         | passed | 0.047 seconds   |
./spec/requests/api/v1/catalog/beads_spec.rb[1:3:1:6]         | passed | 0.04643 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:3:1:7]         | passed | 0.04276 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:3:2:1]         | passed | 0.02892 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:3:2:2]         | passed | 0.02265 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:3:2:3]         | passed | 0.02332 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:3:2:4]         | passed | 0.20343 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:4:1:1]         | passed | 0.03388 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:4:1:2]         | passed | 0.03468 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:4:1:3]         | passed | 0.03825 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:4:1:4]         | passed | 0.02914 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:4:1:5]         | passed | 0.02184 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:4:1:6]         | passed | 0.03243 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:4:1:7]         | passed | 0.04728 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:4:2:1]         | passed | 0.0181 seconds  |
./spec/requests/api/v1/catalog/beads_spec.rb[1:4:2:2]         | passed | 0.0179 seconds  |
./spec/requests/api/v1/catalog/beads_spec.rb[1:4:2:3]         | passed | 0.01168 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:4:2:4]         | passed | 0.01425 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:4:3:1]         | passed | 0.00615 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:4:3:2]         | passed | 0.00636 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:4:3:3]         | passed | 0.00412 seconds |
./spec/requests/api/v1/catalog/beads_spec.rb[1:5:1:1]         | passed | 0.01921 seconds |
